#
# List of disabled samples by mode, OS, arch, and build type
#
# Format:
#
#          mode os arch build sample_name "reason"
#
#    where:
#      - mode  = manual | dvs | qa | all
#      - os    = Linux | Darwin | win32 | all
#      - arch  = x86_64 | i686 | ppc64le | all
#      - build = debug | release | all
#      - sample_name = sample_category/sample_name
#
# Example:
#
#   dvs   Linux   all   all     lwdaOpenMP        "not supported"
#

# Not running
all     win32  all   all     fluidsGLES                   	  "not running on Windows"
all     win32  all   all     nbody_screen                     "not running on Windows"
all     win32  all   all     nbody_opengles                   "not running on Windows"
all     win32  all   all     c++11_lwda                       "not running on Windows"
all     win32  all   all     radixSort                        "not running on Windows"
all     win32  all   all     StreamPriorities                 "not running on Windows"
all     win32  all   all     common                           "not running on Windows"
all     win32  all   all     lwHook                           "not running on Windows"
all     win32  all   all     simpleLWFFT_callback             "not running on Windows"
all     win32  all   all     conjugateGradientMultiDeviceCG   "not running on Windows"
all     win32  all   all     lwJPEG                           "not running on Windows"


# Not supported by test machines
all     win32  all   all     lwdaOpenMP                       "no OpenMP lib installed on test machines"
dvs     all    all   all     simpleMPI                        "no MPI installation on test machines"
qa      all    all   all     simpleMPI                        "no MPI installation on test machines"
all     all    all   all     EGLStream_LWDA_CrossGPU          "no latest EGL headers on test machines - bug 200366862"
all     all    all   all     EGLSync_LWDAEvent_Interop        "no latest EGL headers on test machines - bug 200366862"

# Disabled CDP samples on windows because of some errors
dvs    win32  all   all      cdpBezierTessellation           "Unable to run due to some failures"

# NPP does not support debug builds anymore (Bug 1164255), This bug will not be fixed.
all     all    all   debug   boxFilterNPP               "Debug builds of NPP are not supported"
all     all    all   debug   freeImageInteropNPP        "Debug builds of NPP are not supported"
all     all    all   debug   histEqualizationNPP        "Debug builds of NPP are not supported"
all     all    all   debug   jpegNPP                    "Debug builds of NPP are not supported"
all     all    all   debug   cannyEdgeDetectorNPP       "Debug builds of NPP are not supported"
all     all    all   debug   FilterBorderControlNPP     "Debug builds of NPP are not supported"

# Disable some windows DVS builds

# Issues found on Linux & Mac
all     Darwin all   all     simpleAssert                      "Bug 1045834" 
all     Linux  i686  all     simpleIPC                         "Bug 1370713 - disable simpleIPC for i686"
all     Darwin i686  all     simpleIPC                         "Bug 1370713 - disable simpleIPC for i686"

# Builds failing on DVS/Windows
dvs     win32  all   all     boxFilter                       "boxFilter.exe not found"
dvs     win32  all   all     boxFilter                       "boxFilter.exe not found"
dvs     win32  all   all     fluidsD3D9                   "1367652 cannot include d3dxN.h"
dvs     win32  all   all     simpleDevLibLWBLAS         "cannot open LWBLAS SM 3.5 lib"

# Runtime failures on DVS/Windows
dvs     win32  all   all     simpleD3D9                      "not supported in DVS"
dvs     win32  all   all     simpleD3D11Texture              "not supported in DVS"
dvs     win32  all   all     segmentationTreeThrust          "invalid device function or 71% bytes mismatched or timeout"
dvs     win32  all   all     batchLWBLAS                "exit 128"
dvs     win32  all   all     simpleLWBLAS               "exit 128"

# Builds failing on DVS/Linux

# DVS/Linux test infrastructure fail does not start GL
dvs     Linux  all   all     postProcessGL                    "DVS should start X before running this sample"
dvs     Linux  all   all     simpleLWDA2GL                    "DVS should start X before running this sample"
dvs     Linux  all   all     fluidsGL                     	  "DVS should start X before running this sample"

# Need to add support to DVS for LWGRAPH Samples, so blacklisting till then.
dvs     all    all   all     lwgraph_Pagerank          		"Need to add support for lwgraph with samples in DVS"
dvs     all    all   all     lwgraph_SSSP              		"Need to add support for lwgraph with samples in DVS"
dvs     all    all   all     lwgraph_SemiRingSpMV      		"Need to add support for lwgraph with samples in DVS"
dvs     all    all   all     lwgraph_SpectralClustering     "Need to add support for lwgraph with samples in DVS"
